bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,20/09/15,Carpi,Fiorentina,0,1,-60.8,1.64,10.52,4.33,1.91,0.18,0.63,7.5,7,7
1,20/09/15,Chievo,Inter,0,1,-80.8,1.6,13.92,3.75,2.1,0.51,0.62,3.525,7,7
1,20/09/15,Genoa,Juventus,0,2,-100.8,1.61,10.57,4.5,1.83,0.53,0.71,2.925,7,7
1,22/09/15,Udinese,Milan,2,3,-120.8,1.54,21.88,3.3,2.25,0.34,0.51,7.125,7,7
1,23/09/15,Carpi,Napoli,0,0,-140.8,1.59,8.3,6.5,1.55,0.13,0.56,7.5,7,7
1,27/09/15,Genoa,Milan,1,0,-94.8,1.53,27.95,3.3,2.3,0.47,0.54,6.975,7,7
1,27/09/15,Verona,Lazio,1,2,-114.8,1.54,17.45,3.75,2.05,0.44,0.63,5.4,7,7
1,04/10/15,Sampdoria,Inter,1,1,-134.8,1.54,14.92,4.0,1.95,0.52,0.63,3.9,7,7
1,24/10/15,Palermo,Inter,1,1,-154.8,1.59,15.01,4.0,2.0,0.45,0.61,4.275,7,7
1,25/10/15,Chievo,Napoli,0,1,-174.8,1.48,20.59,4.5,1.83,0.49,0.62,5.85,7,7
1,27/10/15,Bologna,Inter,0,1,-194.8,1.57,12.82,5.0,1.75,0.28,0.61,5.925,7,7
2,28/10/15,Napoli,Palermo,2,0,-214.8,2.36,2.53,1.29,10.0,0.64,0.46,0.25728,7,7
1,28/10/15,Sassuolo,Juventus,1,0,-139.8,1.88,5.29,4.75,1.75,0.54,0.69,1.2,7,7
1,28/10/15,Verona,Fiorentina,0,2,-159.8,1.6,11.44,4.2,1.85,0.4,0.64,3.825,7,7
1,01/11/15,Genoa,Napoli,0,0,-179.8,1.74,6.81,4.5,1.83,0.5,0.66,1.725,7,7
1,08/11/15,Frosinone,Genoa,2,2,-199.8,1.53,23.39,3.4,2.2,0.34,0.5,7.5,7,7
2,08/11/15,Napoli,Udinese,1,0,-219.8,2.2,2.56,1.22,13.0,0.65,0.38,0.22656,7,7
