bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,05/10/13,Leverkusen,Bayern Munich,1,1,89.0,1.43,16.16,5.0,1.6,0.75,0.91,4.575,7,7
1,05/10/13,M'gladbach,Dortmund,2,0,169.0,1.59,9.62,5.0,1.67,0.5,0.78,3.15,7,7
2,19/10/13,Bayern Munich,Mainz,4,1,149.0,1.53,4.24,1.1,23.0,0.89,0.42,0.43584,7,7
1,19/10/13,Braunschweig,Schalke 04,2,3,129.0,1.55,13.07,4.75,1.73,0.21,0.56,7.5,7,7
2,19/10/13,Dortmund,Hannover,1,0,109.0,1.8,3.46,1.22,11.0,0.74,0.5,0.43392,7,7
2,01/11/13,Dortmund,Stuttgart,6,1,89.0,2.01,2.97,1.22,12.0,0.77,0.5,0.31872,7,7
1,02/11/13,Braunschweig,Leverkusen,1,0,209.0,1.57,7.46,7.0,1.44,0.16,0.76,7.5,7,7
1,02/11/13,Hoffenheim,Bayern Munich,1,2,189.0,2.21,2.62,12.0,1.25,0.43,0.9,0.825,7,7
1,09/11/13,Wolfsburg,Dortmund,2,1,259.0,1.49,14.92,4.5,1.73,0.55,0.78,4.725,7,7
1,30/11/13,Mainz,Dortmund,1,3,239.0,1.66,6.01,5.0,1.57,0.47,0.7,1.8,7,7
1,07/12/13,Werder Bremen,Bayern Munich,0,7,219.0,2.03,2.94,12.0,1.22,0.37,0.92,1.2,7,7
1,08/12/13,Braunschweig,Hertha,0,2,199.0,1.55,19.54,3.5,2.1,0.23,0.41,7.5,7,7
2,14/12/13,Bayern Munich,Hamburg,3,1,179.0,1.42,5.43,1.1,21.0,0.93,0.44,0.60288,7,7
2,15/12/13,Schalke 04,Freiburg,2,0,159.0,2.47,2.68,1.4,8.0,0.59,0.42,0.25728,7,7
1,21/12/13,Braunschweig,Hoffenheim,1,0,219.0,1.55,16.19,4.0,1.91,0.19,0.41,7.5,7,7
1,21/12/13,Nurnberg,Schalke 04,0,0,199.0,1.51,19.12,3.4,2.05,0.39,0.61,6.6,7,7
1,21/12/13,Werder Bremen,Leverkusen,1,0,269.0,1.7,6.84,4.5,1.73,0.33,0.74,3.0,7,7
1,24/01/14,M'gladbach,Bayern Munich,0,2,249.0,1.46,10.93,6.5,1.44,0.62,0.93,3.75,7,7
1,25/01/14,Freiburg,Leverkusen,3,2,319.0,1.68,7.25,4.5,1.73,0.42,0.7,2.4,7,7
1,29/01/14,Stuttgart,Bayern Munich,1,2,299.0,2.03,2.93,10.0,1.25,0.43,0.94,1.05,7,7
1,31/01/14,Braunschweig,Dortmund,1,2,279.0,1.46,7.43,10.0,1.29,0.28,0.62,3.75,7,7
1,08/02/14,Nurnberg,Bayern Munich,0,2,259.0,1.75,3.65,11.0,1.22,0.46,0.94,1.425,7,7
1,08/02/14,Werder Bremen,Dortmund,1,5,239.0,1.89,3.83,8.0,1.36,0.36,0.64,1.2,7,7
1,15/02/14,Werder Bremen,M'gladbach,1,1,219.0,1.52,17.36,3.5,2.05,0.34,0.53,5.925,7,7
1,22/02/14,Hamburg,Dortmund,3,0,349.0,1.41,11.31,7.5,1.36,0.32,0.68,5.7,7,7
1,23/02/14,Hannover,Bayern Munich,0,4,329.0,1.69,3.77,10.0,1.22,0.41,0.95,1.725,7,7
1,01/03/14,Braunschweig,M'gladbach,1,1,309.0,1.64,9.42,4.0,1.91,0.27,0.53,3.75,7,7
1,08/03/14,Wolfsburg,Bayern Munich,1,6,289.0,2.2,2.69,9.0,1.29,0.58,0.96,0.675,7,7
2,15/03/14,Bayern Munich,Leverkusen,2,1,269.0,1.97,2.73,1.14,15.0,0.96,0.59,0.28416,7,7
2,15/03/14,Dortmund,M'gladbach,1,2,399.0,2.51,2.49,1.36,7.5,0.68,0.5,0.24384,7,7
1,22/03/14,Hannover,Dortmund,0,3,379.0,1.61,7.78,4.75,1.67,0.43,0.64,2.4,7,7
1,22/03/14,Mainz,Bayern Munich,0,2,359.0,1.45,6.32,11.0,1.22,0.58,0.96,2.4,7,7
2,25/03/14,Dortmund,Schalke 04,0,0,339.0,3.4,2.02,1.44,6.5,0.66,0.69,0.20736,7,7
1,25/03/14,Hertha,Bayern Munich,1,3,319.0,2.22,2.52,13.0,1.2,0.44,0.96,0.825,7,7
1,29/03/14,Stuttgart,Dortmund,2,3,299.0,1.6,8.08,4.75,1.67,0.34,0.65,3.225,7,7
1,05/04/14,Augsburg,Bayern Munich,1,0,429.0,1.98,3.4,7.5,1.36,0.48,0.94,1.125,7,7
1,19/04/14,Braunschweig,Bayern Munich,0,2,409.0,1.5,7.44,6.5,1.4,0.37,0.84,3.75,7,7
1,20/04/14,Nurnberg,Leverkusen,1,4,389.0,1.67,8.11,3.75,1.91,0.36,0.55,2.475,7,7
1,03/05/14,Freiburg,Schalke 04,0,2,369.0,1.54,13.5,3.6,1.95,0.5,0.63,3.675,7,7
1,03/05/14,Hamburg,Bayern Munich,1,4,349.0,1.85,3.72,7.0,1.36,0.32,0.86,1.8,7,7
2,10/05/14,Leverkusen,Werder Bremen,2,1,329.0,2.34,2.39,1.25,9.0,0.59,0.44,0.25344,7,7
2,10/05/14,Schalke 04,Nurnberg,4,1,309.0,2.14,2.85,1.29,9.5,0.65,0.31,0.2112,7,7
1,24/08/14,Paderborn,Mainz,2,2,289.0,1.48,31.49,3.1,2.25,0.5,0.53,7.5,7,7
1,29/08/14,Augsburg,Dortmund,2,3,269.0,1.7,6.94,4.5,1.73,0.53,0.7,1.8,7,7
